C:\Users\hp\Desktop\IMG\center_2019_07_09_13_44_42_345.jpg,C:\Users\hp\Desktop\IMG\left_2019_07_09_13_44_42_345.jpg,C:\Users\hp\Desktop\IMG\right_2019_07_09_13_44_42_345.jpg,0,0.6734552,0,30.09686
C:\Users\hp\Desktop\IMG\center_2019_07_09_13_44_42_416.jpg,C:\Users\hp\Desktop\IMG\left_2019_07_09_13_44_42_416.jpg,C:\Users\hp\Desktop\IMG\right_2019_07_09_13_44_42_416.jpg,0,0.6894097,0,30.13387
C:\Users\hp\Desktop\IMG\center_2019_07_09_13_44_42_492.jpg,C:\Users\hp\Desktop\IMG\left_2019_07_09_13_44_42_492.jpg,C:\Users\hp\Desktop\IMG\right_2019_07_09_13_44_42_492.jpg,0,0.4633135,0,30.04281
C:\Users\hp\Desktop\IMG\center_2019_07_09_13_44_42_567.jpg,C:\Users\hp\Desktop\IMG\left_2019_07_09_13_44_42_567.jpg,C:\Users\hp\Desktop\IMG\right_2019_07_09_13_44_42_567.jpg,0,0.6902777,0,30.12297
C:\Users\hp\Desktop\IMG\center_2019_07_09_13_44_42_636.jpg,C:\Users\hp\Desktop\IMG\left_2019_07_09_13_44_42_636.jpg,C:\Users\hp\Desktop\IMG\right_2019_07_09_13_44_42_636.jpg,0,0.8982096,0,30.13522
C:\Users\hp\Desktop\IMG\center_2019_07_09_13_44_42_714.jpg,C:\Users\hp\Desktop\IMG\left_2019_07_09_13_44_42_714.jpg,C:\Users\hp\Desktop\IMG\right_2019_07_09_13_44_42_714.jpg,0,1,0,30.19068
C:\Users\hp\Desktop\IMG\center_2019_07_09_13_44_42_789.jpg,C:\Users\hp\Desktop\IMG\left_2019_07_09_13_44_42_789.jpg,C:\Users\hp\Desktop\IMG\right_2019_07_09_13_44_42_789.jpg,0,1,0,30.19031
C:\Users\hp\Desktop\IMG\center_2019_07_09_13_44_42_856.jpg,C:\Users\hp\Desktop\IMG\left_2019_07_09_13_44_42_856.jpg,C:\Users\hp\Desktop\IMG\right_2019_07_09_13_44_42_856.jpg,0,1,0,30.19028
C:\Users\hp\Desktop\IMG\center_2019_07_09_13_44_42_935.jpg,C:\Users\hp\Desktop\IMG\left_2019_07_09_13_44_42_935.jpg,C:\Users\hp\Desktop\IMG\right_2019_07_09_13_44_42_935.jpg,-0.2,1,0,30.17982
C:\Users\hp\Desktop\IMG\center_2019_07_09_13_44_43_005.jpg,C:\Users\hp\Desktop\IMG\left_2019_07_09_13_44_43_005.jpg,C:\Users\hp\Desktop\IMG\right_2019_07_09_13_44_43_005.jpg,-0.4,1,0,30.1575
C:\Users\hp\Desktop\IMG\center_2019_07_09_13_44_43_077.jpg,C:\Users\hp\Desktop\IMG\left_2019_07_09_13_44_43_077.jpg,C:\Users\hp\Desktop\IMG\right_2019_07_09_13_44_43_077.jpg,-0.5500001,1,0,30.13925
C:\Users\hp\Desktop\IMG\center_2019_07_09_13_44_43_151.jpg,C:\Users\hp\Desktop\IMG\left_2019_07_09_13_44_43_151.jpg,C:\Users\hp\Desktop\IMG\right_2019_07_09_13_44_43_151.jpg,-0.7500002,1,0,30.11468
C:\Users\hp\Desktop\IMG\center_2019_07_09_13_44_43_225.jpg,C:\Users\hp\Desktop\IMG\left_2019_07_09_13_44_43_225.jpg,C:\Users\hp\Desktop\IMG\right_2019_07_09_13_44_43_225.jpg,0,1,0,30.17085
C:\Users\hp\Desktop\IMG\center_2019_07_09_13_44_43_299.jpg,C:\Users\hp\Desktop\IMG\left_2019_07_09_13_44_43_299.jpg,C:\Users\hp\Desktop\IMG\right_2019_07_09_13_44_43_299.jpg,0,1,0,30.18177
C:\Users\hp\Desktop\IMG\center_2019_07_09_13_44_43_372.jpg,C:\Users\hp\Desktop\IMG\left_2019_07_09_13_44_43_372.jpg,C:\Users\hp\Desktop\IMG\right_2019_07_09_13_44_43_372.jpg,0,1,0,30.1887
C:\Users\hp\Desktop\IMG\center_2019_07_09_13_44_43_445.jpg,C:\Users\hp\Desktop\IMG\left_2019_07_09_13_44_43_445.jpg,C:\Users\hp\Desktop\IMG\right_2019_07_09_13_44_43_445.jpg,0,1,0,30.19006
C:\Users\hp\Desktop\IMG\center_2019_07_09_13_44_43_518.jpg,C:\Users\hp\Desktop\IMG\left_2019_07_09_13_44_43_518.jpg,C:\Users\hp\Desktop\IMG\right_2019_07_09_13_44_43_518.jpg,0,1,0,30.19025
C:\Users\hp\Desktop\IMG\center_2019_07_09_13_44_43_591.jpg,C:\Users\hp\Desktop\IMG\left_2019_07_09_13_44_43_591.jpg,C:\Users\hp\Desktop\IMG\right_2019_07_09_13_44_43_591.jpg,0,1,0,30.18941
C:\Users\hp\Desktop\IMG\center_2019_07_09_13_44_43_661.jpg,C:\Users\hp\Desktop\IMG\left_2019_07_09_13_44_43_661.jpg,C:\Users\hp\Desktop\IMG\right_2019_07_09_13_44_43_661.jpg,0.05,1,0,30.18863
C:\Users\hp\Desktop\IMG\center_2019_07_09_13_44_43_733.jpg,C:\Users\hp\Desktop\IMG\left_2019_07_09_13_44_43_733.jpg,C:\Users\hp\Desktop\IMG\right_2019_07_09_13_44_43_733.jpg,0.25,1,0,30.17336
C:\Users\hp\Desktop\IMG\center_2019_07_09_13_44_43_803.jpg,C:\Users\hp\Desktop\IMG\left_2019_07_09_13_44_43_803.jpg,C:\Users\hp\Desktop\IMG\right_2019_07_09_13_44_43_803.jpg,0,1,0,30.18027
C:\Users\hp\Desktop\IMG\center_2019_07_09_13_44_43_877.jpg,C:\Users\hp\Desktop\IMG\left_2019_07_09_13_44_43_877.jpg,C:\Users\hp\Desktop\IMG\right_2019_07_09_13_44_43_877.jpg,0,1,0,30.1882
C:\Users\hp\Desktop\IMG\center_2019_07_09_13_44_43_950.jpg,C:\Users\hp\Desktop\IMG\left_2019_07_09_13_44_43_950.jpg,C:\Users\hp\Desktop\IMG\right_2019_07_09_13_44_43_950.jpg,0.2,1,0,30.18283
C:\Users\hp\Desktop\IMG\center_2019_07_09_13_44_44_022.jpg,C:\Users\hp\Desktop\IMG\left_2019_07_09_13_44_44_022.jpg,C:\Users\hp\Desktop\IMG\right_2019_07_09_13_44_44_022.jpg,0.35,1,0,30.16698
C:\Users\hp\Desktop\IMG\center_2019_07_09_13_44_44_098.jpg,C:\Users\hp\Desktop\IMG\left_2019_07_09_13_44_44_098.jpg,C:\Users\hp\Desktop\IMG\right_2019_07_09_13_44_44_098.jpg,0.5500001,1,0,30.14187
C:\Users\hp\Desktop\IMG\center_2019_07_09_13_44_44_172.jpg,C:\Users\hp\Desktop\IMG\left_2019_07_09_13_44_44_172.jpg,C:\Users\hp\Desktop\IMG\right_2019_07_09_13_44_44_172.jpg,0.7500002,1,0,30.1169
